ID,Name,Category,Type,Rating,Download Link,Download Size,Download OS
"2257","Violent Phaser","Modulation","Phaser","null","https://plugins4free.com/get_plug/ViolentPhaser.zip","3.5","Windows x86"
"2266","MSter Balance","Mastering/Strip","Mid-Side processor","null","https://plugins4free.com/get_plug/MSter-Balance.zip","2.2","Windows x86"
"2256","Mon-ster","Spatial","Stereo controller","4.5","https://plugins4free.com/get_plug/ViolentMonster.zip","7.1","Windows x86"
"2352","SpatialVerb","Reverb","Room modeling reverb","4","https://plugins4free.com/get_plug/ES-SpatialVerb.zip","0.2","Windows x86"
"2383","Whistler","Hybrid/Other","Filtered noise synth","4.6","https://plugins4free.com/get_plug/whistler.zip","0.9","Windows x86"
"2373","T-Rex 606","Drum_machines","TR-606 rompler","3.909","https://plugins4free.com/get_plug/TRex606_x64.zip","2.1","Windows x64"
"2298","Sonatina Viola","Piano/Strings","Viola","4.3","https://plugins4free.com/get_plug/Sonatina_Viola_-_64.zip","18.8","Windows x64"
"2319","Project16 Fingered Bass","Guitar/Bass","Bass guitar","null","https://plugins4free.com/get_plug/Project16_Fingered_Bass_-_64.zip","47.7","Windows x64"
"2346","Neo Piano mini","Piano/Strings","Yamaha C7 Grand Piano","3.353","https://plugins4free.com/get_plug/Neo_Piano_mini_x64.zip","null","Windows x64"
"2246","RZS Vocoder","Pitch","12 band vocoder","2.333","https://plugins4free.com/get_plug/rzs-Vocoder.zip","0.6","Windows x86"
"2299","Sonatina Cello","Piano/Strings","Cello","3.636","https://plugins4free.com/get_plug/Sonatina_Cello_-_64.zip","31.6","Windows x64"
"2353","AntiAlias","Filtering","Oversampling filter","2.556","https://plugins4free.com/get_plug/ES-AntiAlias.zip","0.1","Windows x86"
"2313","Sonatina Harp","orchestral","Harp","4.429","https://plugins4free.com/get_plug/Sonatina_Harp_-_64.zip","7.5","Windows x64"
"2360","SDX","Single_drums","Snare drum synth","4.667","https://plugins4free.com/get_plug/sdx_v1.zip","1.5","Windows x86"
"2296","Sonatina Violin","Piano/Strings","Violin","4.174","https://plugins4free.com/get_plug/Sonatina_Violin_-_64.zip","112.1","Windows x64"
"2341","ATKColoredExpander","Dynamics","Mono expander","4.5","https://plugins4free.com/get_plug/ATKColoredExpander_x64.zip","null","Windows x64"
"2387","Drumper 2.5","Groove/seq","Morphing pattern groovebox","null","https://plugins4free.com/get_plug/drumper2-5-32.zip","6","Windows x86"
"2394","Dick Head","Guitar/Amp","Guitar amp head","4.333","https://plugins4free.com/get_plug/DICK-HEAD.zip","2.5","Windows x86"
"2307","Sonatina Horn","Brass/Wind","Horn","4.143","https://plugins4free.com/get_plug/Sonatina_Horn_-_64.zip","25.7","Windows x64"
"2294","Iowa Piano","Piano/Strings","Steinway Grand Piano","4.286","https://plugins4free.com/get_plug/Iowa_Piano_-_64.zip","340.4","Windows x64"
"2277","Cherry Snare","Single_drums","Acoustic snare drum","4.625","https://plugins4free.com/get_plug/Cherry-Snare_x64.zip","75.2","Windows x64"
"2293","City Piano","Piano/Strings","Baldwin Baby Grand Piano","4.125","https://plugins4free.com/get_plug/City_Piano_-_64.zip","446.3","Windows x64"
"2329","Sonatina Glockenspiel","orchestral","Glockenspiel","3.857","https://plugins4free.com/get_plug/Sonatina_Glockenspiel_-_64.zip","4","Windows x64"
