Title,Artist,Year,Genre,BPM,Energy,Dance,Valence,Popularity,WIP,,Tags,Spotify ID
Brasileirinho,Waldir Azavedo,1947,Choro,105,52,49,92,30,WIP,,samba;seresta;classical;chamber music;brazilian jazz;bossa nova;latin jazz;big band;jazz;instrumental,6MTrtNdft6F4t64fEzhNNA
Breakfast At Tiffany's,Deep Blue Something,1995,Rock,110,83,62,54,70,WIP,,;love,1uzWOoJdADfstQuFtQFTUn
Breathe (2 AM),Anna Nalick,2004,Folk,170,45,39,29,64,WIP,,;,5auMzVHFr5Zfw6IbKarZ56
Brown Eyed Girl,Van Morrison,1967,Rock,151,58,49,91,70,,,;love;dance;fast;oldies;retro,3yrSvpt2l1xhsV9Em88Pul
Budapest,George Ezra,2013,Rock,128,46,72,39,79,,,;love;dance,2ixsaeFioXJmMgkkbd4uj1
Butterfly,Jason Mraz,2008,Pop,108,66,72,80,44,WIP,,soft pop;acoustic pop;love;dance;fast,7rrmHHc1kY9vkIZnXrcH7T
Bye Bye Love,Everly Brothers,1957,Country,170,52,55,89,53,WIP,,doo-wop;oldies;retro;love,6oRHRkQigTzJ3KwpO3XOV6
Calendar Girl,Neil Sedaka,1959,Pop,123,65,70,86,54,WIP,,doo-wop;adult standards;oldies;retro;love;sweet,7Gpx2fNJiilvrf9Ss8qbit
Californication,Red Hot Chili Peppers,1999,Alternative,96,77,59,33,84,,,funk rock;alternative rock;rock;groovy,48UPSzbZjgc449aqz8bxox
Can't Help Falling In Love,Elvis Presley,1961,Rock,100,29,40,34,80,,,rockabilly;rock and roll;love;slow;oldies;retro;waltz,44AyOl4qVkzS48vBsbNXaC
Can't Smile Without You,Barry Manilow,1978,Pop,98,52,42,48,62,WIP,,yacht rock;adult standards;oldies;retro;love;sweet,7qUTZEf6bgiApJEXpMAH5y
Careless Whisper,George Michael,1984,Pop,153,63,57,80,10,,,;oldies;retro,4jDmJ51x1o9NZB5Nxxc7gY
Carry You Home,James Blunt,2008,Rock,83,55,34,21,64,WIP,,;love;alternative,1zVBU0PAj7ZUVmVfG2pgQG
Catch and Release,Matt Simons,2007,Pop,87,45,62,61,50,WIP,,;slow;love,29MwtMspIroR2wFYEJ7ps0
Chained To The Rhythm,Katy Perry,2017,Disco,95,80,56,47,70,WIP,,pop;reggae;groovy;dance;fast,7qvxFz3JodM0A7xEM7k3YD
Cheap Thrills,Sia,2016,Pop,90,70,63,73,68,,,;groovy;dance;fast,3S4px9f4lceWdKf0gWciFu
Chiquitita,ABBA,1979,Pop,84,55,50,37,74,WIP,,;oldies;retro;love,762B4bOcXF7I2Y8UlKTyTy
Clocks,Coldplay,2002,Rock,131,75,58,26,85,,,;alternative,0BCPKOYdS2jbQ8iyB56Zns
Closing Time,Semisonic,1998,Rock,92,85,48,27,68,WIP,,;alternative,1A5V1sxyCLpKJezp75tUXn
Cloud Number Nine,Bryan Adams,1999,Pop,110,72,59,62,49,,,;love;dance;sweet;groovy,1sdz3nsrkX4Yo42KLPrmYV
Copacabana,Barry Manilow,1978,Disco,108,67,76,80,48,WIP,,yacht rock;adult standards;acoustic;love;dance;groovy;oldies;retro,3hWOGUIOcqKDoVpFBLp9Qc
Count On Me,Bruno Mars,2010,Pop,89,39,59,50,74,,,;groovy;acoustic;love;fast;sweet,7l1qvxWjxcKpB9PCtBuTbU
Counting Stars,OneRepublic,2013,Pop,122,71,66,47,73,,,soft pop;,6sy3LkhNFjJWlaeSMNwQ62
Country Roads,John Denver,1971,Country,82,40,46,63,76,,,folk;oldies;retro;groovy,1YYhDizHx7PnDhAhko6cDS
Crazy,Gnarles Barkley,2006,Soul,112,74,84,61,5,,,;alternative;groovy,2N5zMZX7YeL1tico8oQxa9
Crazy Little Thing Called Love,Queen,1979,Rock,77,57,63,75,0,,,classic rock;rock;glam rock;groovy;dance;fast;oldies;retro,2NpKgRCZfFb8fVmvk16iMx
Dance With Me Tonight,Olly Murs,2011,Pop,164,75,67,96,65,,,;dance;fast;love;groovy;sweet,1FSWSs9CL01RCYxXtm08Rf
Dancing In The Moonlight,Toploader,1999,Pop,119,86,63,87,78,,,;groovy;dance,3Fzlg5r1IjhLk2qRw667od
Dancing Queen,ABBA,1976,Pop,101,87,54,75,84,,,;groovy;dance;jive;oldies;retro;fast,0GjEhVFGZW8afUYGChu3Rr
Daughters,John Mayer,2004,Rock,125,41,67,50,65,,,singer-songwriter;groovy;slow;alternative,5FPnjikbwlDMULCCCa6ZCJ
Dear Future Husband,Meghan Trainor,2014,Pop,79,78,66,83,69,,,;dance;groovy;love;sweet,3cU2wBxuV6nFiuf6PJZNlC
Diana,Paul Anka,1957,Rock,143,41,57,96,47,WIP,,adult standards;dance;groovy;love;sweet;oldies;retro,4chlGZQX5uPYpRLp3NezmX
Die Die Die,Avett Brothers,2007,Folk,119,70,53,77,34,WIP,,indie folk;folk;americana;bluegrass;newgrass;alt country;folk rock;alternative;groovy;acoustic,2HK5MzOuCmkJQlJYGCQpUU
Does Your Mother Know,ABBA,1979,Pop,136,87,73,98,66,,,;dance;fast;love;groovy;oldies;retro,2HPB3px8MJZRMfu1L65Z41
Don't It Make My Brown Eyes Blue,Crystal Gayle,1977,Jazz,85,32,74,34,60,WIP,,classic country;groovy;jazz;slow;love;oldies;retro,7Jpclr7tZ6aQXjoKzWXUJV
Don't Know Why,Norah Jones,2002,Pop,89,22,75,64,77,,,;groovy;slow;love,1zNXF2svmdlNxfS5XeNUgr
Don't Let Me Be Lonely Tonight,James Taylor,1972,Rock,75,15,62,34,45,WIP,,folk rock;singer-songwriter;soft rock;yacht rock;groovy;slow;love;oldies;retro,3c3b5daSKE7C83YLIOrSnX
Don't Look Back In Anger,Oasis,1995,Pop,164,92,35,21,72,,,britpop;madchester;groovy;slow;alternative;acoustic,7ppPZa3TRUSGKaks9wH7VT
Don't Stop Me Now,Queen,1979,Rock,156,76,56,64,2,,,classic rock;rock;glam rock;dance;fast;love;groovy;oldies;retro,43DHLzDkncpby82Po5jlOZ
Don't Think Twice It's Alright,Bob Dylan,1963,Folk,111,24,60,47,67,WIP,,folk rock;folk;singer-songwriter;roots rock;country rock;acoustic;alternative;love;oldies;retro;folk,2WOjLF83vqjit2Zh4B69V3
Doubting Thomas,Nickel Creek,2005,Pop,146,14,39,27,35,WIP,,bluegrass;newgrass;folk;americana;,5Y5mqKOWd1wzqSqBeYaeO9
Dream A Little Dream Of Me,Laura Fygi,2002,Jazz,88,22,65,32,55,WIP,,french jazz;vocal jazz;jazz;smooth jazz;love;slow;acoustic;jazz;sweet,5vVLUqs9ogEGnH44Lh8Tuc
Dream Lover,Bobby Darin,1959,Rock 'n' roll,132,77,53,72,58,WIP,,big band;adult standards;swing music;doo-wop;lover;oldies;retro;dance;sweet,1KLpjQFgubHI3GkAICCNH3
Dreams,Fleetwood Mac,1977,Rock,120,49,83,79,88,,,classic rock;yacht rock;soft rock;,0ofHAoxe9vBkTCp2UQIavz
Drive,Incubus,2000,Rock,91,79,65,67,78,,,nu metal;funk rock;alternative metal;alternative rock;alternative;groovy;dance,7nnWIPM5hwE3DaUBkvOIpy
Dust in the Wind,Kansas,1978,Rock,94,32,48,39,78,,,classic rock;progressive rock;aor;alternative;acoustic;oldies;retro;love,6zeE5tKyr8Nu882DQhhSQI
